City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
104,Saint Anthony,US,46.4,clear sky,45.02,-93.22,Holiday Inn Express Roseville-St. Paul
107,Torbay,CA,53.01,overcast clouds,47.67,-52.73,Gallows Cove
108,Kroonstad,ZA,59.0,overcast clouds,-27.65,27.23,Travel Inn Kroonstad
109,Killybegs,IE,48.0,broken clouds,54.63,-8.45,Tara Hotel
112,Port Alfred,ZA,62.62,light rain,-33.59,26.89,The Halyards Hotel
116,Atherton,GB,48.0,overcast clouds,53.52,-2.49,The Mercury Motel
117,Hobart,AU,66.0,broken clouds,-42.88,147.33,St Ives Hobart Accommodation Tasmania
118,Husavik,IS,33.8,broken clouds,66.04,-17.34,Bjarnabúð
119,Wladyslawowo,PL,39.0,light intensity shower rain,54.79,18.4,Gwiazda Morza Resort SPA&SPORT
121,Wicklow,IE,46.0,broken clouds,53.0,-6.42,Glenmalure Hostel
124,Show Low,US,37.0,clear sky,34.25,-110.03,Hampton Inn & Suites Show Low-Pinetop
126,Jamestown,US,37.99,clear sky,42.1,-79.24,Hampton Inn & Suites Jamestown
131,Matay,EG,52.36,clear sky,28.42,30.78,Nag Aespen
132,Bangangte,CM,62.24,overcast clouds,5.14,10.52,Hôtel Cristal Foua Ndigong
133,Hamilton,US,42.01,clear sky,39.18,-84.53,Six Acres Bed & Breakfast
134,Saint-Augustin,CA,31.35,light snow,51.23,-58.65,
135,Tamworth,GB,46.4,mist,52.63,-1.7,Drayton Manor Hotel
138,Port Elizabeth,ZA,60.8,scattered clouds,-33.92,25.57,39 On Nile Guest House
139,Lebu,CL,56.05,overcast clouds,-37.62,-73.65,Hostal Las Lilas
141,Half Moon Bay,US,60.8,clear sky,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
142,Taoudenni,ML,62.78,overcast clouds,22.68,-3.98,
144,Hofn,IS,41.27,light rain,64.25,-15.21,Hótel Höfn
147,Birao,CF,68.25,clear sky,10.28,22.79,
148,Codrington,AU,60.49,overcast clouds,-38.27,141.97,Codrington Gardens Bed And Breakfast
149,Constitucion,CL,55.0,clear sky,-35.33,-72.42,Hotel Boutique Las Azucenas
150,Menongue,AO,62.55,light rain,-14.66,17.69,Ritz Lauca
151,Skjervoy,NO,41.54,scattered clouds,70.03,20.97,Skjervøy Byggeservice AS
153,Port Lincoln,AU,62.1,clear sky,-34.73,135.87,Port Lincoln Hotel
156,Jesi,IT,50.0,mist,43.53,13.24,Hotel Federico II
157,Araouane,ML,67.96,overcast clouds,18.9,-3.53,
159,Keflavik,IS,37.4,overcast clouds,64.0,-22.56,Hotel Keflavik
163,Mutoko,ZW,64.87,overcast clouds,-17.4,32.23,Nyamakwere Lodges
166,Mwanza,TZ,66.2,broken clouds,-2.52,32.9,Gold Crest Hotel
169,Badin,PK,62.46,clear sky,24.66,68.84,Sindh Al Sajjad Hotal Khoski Istop Badin
170,Hasaki,JP,54.0,broken clouds,35.73,140.83,Inubosaki Kanko Hotel
